sensorId,datetime,temp
1,20190101,23
1,20190102,24
1,20190103,20
1,20190104,30
1,20190105,25
1,20190106,26
1,20190107,25
1,20190108,20
1,20190109,28
1,20190110,20
1,20190111,24
1,20190112,26
1,20190113,30
1,20190114,22
1,20190115,30
1,20190116,20
1,20190117,21
1,20190118,29
1,20190119,22
1,20190120,26
1,20190121,26
1,20190122,30
1,20190123,29
1,20190124,29
1,20190125,25
1,20190126,27
1,20190127,28
1,20190128,23
1,20190129,22
1,20190130,29
1,20190131,27
2,20190101,24
2,20190102,21
2,20190103,24
2,20190104,21
2,20190105,26
2,20190106,25
2,20190107,24
2,20190108,23
2,20190109,25
2,20190110,20
2,20190111,22
2,20190112,20
2,20190113,27
2,20190114,20
2,20190115,23
2,20190116,22
2,20190117,27
2,20190118,26
2,20190119,29
2,20190120,24
2,20190121,23
2,20190122,22
2,20190123,20
2,20190124,28
2,20190125,28
2,20190126,26
2,20190127,30
2,20190128,26
2,20190129,20
2,20190130,24
2,20190131,30
3,20190101,29
3,20190102,25
3,20190103,23
3,20190104,26
3,20190105,24
3,20190106,29
3,20190107,21
3,20190108,28
3,20190109,21
3,20190110,21
3,20190111,30
3,20190112,25
3,20190113,21
3,20190114,24
3,20190115,30
3,20190116,29
3,20190117,20
3,20190118,21
3,20190119,25
3,20190120,24
3,20190121,25
3,20190122,28
3,20190123,26
3,20190124,21
3,20190125,30
3,20190126,22
3,20190127,29
3,20190128,29
3,20190129,26
3,20190130,23
3,20190131,25
4,20190101,22
4,20190102,27
4,20190103,29
4,20190104,26
4,20190105,23
4,20190106,21
4,20190107,23
4,20190108,23
4,20190109,27
4,20190110,26
4,20190111,23
4,20190112,29
4,20190113,26
4,20190114,26
4,20190115,22
4,20190116,23
4,20190117,28
4,20190118,30
4,20190119,27
4,20190120,27
4,20190121,22
4,20190122,21
4,20190123,27
4,20190124,28
4,20190125,28
4,20190126,22
4,20190127,28
4,20190128,25
4,20190129,26
4,20190130,24
4,20190131,23
